Name,In,Out,Age,Nationality,Position,Market_Value,Transfer_Fee,Season
Aaron Mooy,Brighton,Huddersfield,29,Netherlands,Central Midfield,€5.00m,€3.30m,2019 - 2020
Aaron Ramsdale,Arsenal,Sheff Utd,23,England,Goalkeeper,€25.00m,€28.00m,2021 - 2022
Aaron Ramsdale,Sheff Utd,Bournemouth,22,England,Goalkeeper,€25.00m,€20.50m,2020 - 2021
Aaron Wan-Bissaka,Man Utd,Crystal Palace,21,England,Right-Back,€38.00m,€55.00m,2019 - 2020
Abdallah Sima,Brighton,Slavia Prague,20,Senegal,Right Winger,€8.00m,€6.70m,2021 - 2022
Abdoulaye Doucouré,Everton,Watford,27,Mali,Central Midfield,€25.00m,€22.10m,2020 - 2021
Adam Armstrong,Southampton,Blackburn,24,England,Centre-Forward,€18.00m,€17.70m,2021 - 2022
Adam Webster,Brighton,Bristol City,24,England,Centre-Back,€18.00m,€22.22m,2019 - 2020
Albert Sambi Lokonga,Arsenal,RSC Anderlecht,21,Belgium,Central Midfield,€16.00m,€17.50m,2021 - 2022
Albian Ajeti,West Ham,FC Basel,22,Albania,Centre-Forward,€2.50m,€11.30m,2019 - 2020
Alex Iwobi,Everton,Arsenal,23,England,Left Winger,€18.00m,€30.40m,2019 - 2020
Alex Telles,Man Utd,FC Porto,27,Italy,Left-Back,€18.00m,€15.00m,2020 - 2021
Allan,Everton,SSC Napoli,29,Portugal,Defensive Midfield,€18.00m,€23.60m,2020 - 2021
Allan Saint-Maximin,Newcastle,OGC Nice,22,Guadeloupe,Left Winger,€32.00m,€18.00m,2019 - 2020
Amad Diallo,Man Utd,Atalanta BC,18,Italy,Right Winger,€18.00m,€21.30m,2020 - 2021
Andi Zeqiri,Brighton,Lausanne-Sport,21,Kosovo,Centre-Forward,€3.00m,€4.00m,2020 - 2021
André Gomes,Everton,Barcelona,25,Portugal,Central Midfield,€20.00m,€25.00m,2019 - 2020
Angeliño,Man City,PSV Eindhoven,22,Spain,Left Midfield,€30.00m,€12.00m,2019 - 2020
Angus Gunn,Norwich,Southampton,25,Scotland,Goalkeeper,€3.00m,€5.85m,2021 - 2022
Anthony Knockaert,Fulham,Brighton,28,Belgium,Right Winger,€2.00m,€11.70m,2020 - 2021
Antonee Robinson,Fulham,Wigan,23,England,Left-Back,€9.00m,€2.10m,2020 - 2021
Anwar El Ghazi,Aston VIlla,LOSC Lille,24,Morocco,Right Winger,€10.00m,€9.00m,2019 - 2020
Arnaut Danjuma,Burnemouth,Club Brugge,22,Nigeria,Left Winger,€40.00m,€16.46m,2019 - 2020
Ayoze Pérez,Leicester,Newcastle,25,Spain,Second Striker,€15.00m,€33.40m,2019 - 2020
Bailey Peacock-Farrell,Burnley,Leeds,22,England,Goalkeeper,€1.00m,€2.75m,2019 - 2020
Ben Chilwell,Chelsea,Leicester,23,England,Left-Back,€38.00m,€50.20m,2020 - 2021
Ben Davies,Liverpool,Preston,25,England,Centre-Back,€3.00m,€1.85m,2020 - 2021
Ben Gibson,Norwich,Burnley,28,England,Centre-Back,€7.00m,€9.30m,2021 - 2022
Ben Godfrey,Everton,Norwich,22,Jamaica,Centre-Back,€25.00m,€27.50m,2020 - 2021
Ben Osborn,Sheff Utd,Nottm Forest,24,England,Left Midfield,€2.50m,€3.90m,2019 - 2020
Ben White,Arsenal,Brighton,23,England,Centre-Back,€40.00m,€58.50m,2021 - 2022
Bendegúz Bolla,Wolves,Fehérvár,21,Hungary,Right-Back,€2.00m,€2.00m,2021 - 2022
Bertrand Traoré,Aston Villa,Olympique Lyon,25,Burkina Faso,Right Winger,€20.00m,€18.40m,2020 - 2021
Björn Engels,Aston VIlla,Stade Reims,24,Belgium,Centre-Back,€3.00m,€8.00m,2019 - 2020
Boubakary Soumaré,Leicester,LOSC Lille,22,Senegal,Defensive Midfield,€28.00m,€20.00m,2021 - 2022
Bruno Fernandes,Man Utd,Sporting CP,25,Portugal,Attacking Midfield,€90.00m,€63.00m,2019 - 2020
Bruno Guimarães,Newcastle,Olympique Lyon,24,Spain,Defensive Midfield,€30.00m,€42.10m,2021 - 2022
Bruno Jordão,Wolves,Lazio,20,Portugal,Central Midfield,€2.50m,€8.90m,2019 - 2020
Bryan Gil,Tottenham,Sevilla FC,20,Spain,Left Winger,€28.00m,€25.00m,2021 - 2022
Callum Robinson,West Brom,Sheff Utd,25,England,Left Winger,€6.00m,?,2020 - 2021
Callum Robinson,Sheff Utd,Preston,24,England,Left Winger,€6.00m,€7.80m,2019 - 2020
Callum Wilson,Newcastle,Bournemouth,28,England,Centre-Forward,€20.00m,€22.25m,2020 - 2021
Chris Wood,Newcastle,Burnley,30,New Zeland,Centre-Forward,€6.00m,€30.00m,2021 - 2022
Christian Eriksen,Brentford,Without Club,29,Denmark,Attacking Midfield,€15.00m,-,2021 - 2022
Christos Tzolis,Norwich,PAOK Salonika,19,Greece,Left Winger,€10.00m,€11.00m,2021 - 2022
Ché Adams,Southampton,Birmingham,22,England,Centre-Forward,€20.00m,€16.70m,2019 - 2020
Connor Roberts,Burnley,Swansea,25,Wales,Right-Back,€3.00m,€2.90m,2021 - 2022
Craig Dawson,West Ham,Watford,31,England,Centre-Back,€3.00m,€2.30m,2021 - 2022
Craig Dawson,Watford,West Brom,29,England,Centre-Back,€3.00m,€6.00m,2019 - 2020
Cristiano Ronaldo,Man Utd,Juventus,36,Portugal,Centre-Forward,€35.00m,€15.00m,2021 - 2022
Cédric Kipré,West Brom,Wigan,23,France,Centre-Back,€1.00m,€1.10m,2020 - 2021
Dale Stephens,Burnley,Brighton,31,England,Central Midfield,€1.50m,€1.10m,2020 - 2021
Dan Burn,Newcastle,Brighton,29,England,Centre-Back,€3.50m,€15.00m,2021 - 2022
Daniel Adshead,Norwich,Rochdale,17,England,Central Midfield,€200Th.,€335Th.,2019 - 2020
Daniel James,Man Utd,Swansea,21,England,Left Winger,€18.00m,€17.80m,2019 - 2020
Daniel James,Leeds,Man Utd,23,England,Left Winger,€18.00m,€29.10m,2021 - 2022
Daniel Podence,Wolves,Olympiacos,24,Portugal,Right Winger,€22.00m,€19.60m,2019 - 2020
Danny Ings,Southampton,Liverpool,26,England,Centre-Forward,€22.00m,€25.10m,2019 - 2020
Danny Ings,Aston Villa,Southampton,29,England,Centre-Forward,€22.00m,€29.42m,2021 - 2022
Darren Randolph,West Ham,Middlesbrough,32,Ireland,Goalkeeper,€1.00m,€4.70m,2019 - 2020
David Button,West Brom,Brighton,31,England,Goalkeeper,€800Th.,€1.10m,2020 - 2021
David Luiz,Arsenal,Chelsea,32,Portugal,Centre-Back,€3.00m,€8.70m,2019 - 2020
Demarai Gray,Everton,Bay. Leverkusen,25,Jamaica,Left Winger,€22.00m,€2.00m,2021 - 2022
Dennis Praet,Leicester,Sampdoria,25,Belgium,Central Midfield,€15.00m,€19.20m,2019 - 2020
Diego Llorente,Leeds,Real Sociedad,27,Spain,Centre-Back,€18.00m,€20.00m,2020 - 2021
Dimitrios Giannoulis,Norwich,PAOK Salonika,25,Greece,Left-Back,€7.00m,€7.50m,2021 - 2022
Diogo Jota,Liverpool,Wolves,23,Portugal,Centre-Forward,€60.00m,€44.70m,2020 - 2021
Donny van de Beek,Man Utd,Ajax,23,Netherlands,Central Midfield,€25.00m,€39.00m,2020 - 2021
Douglas Luiz,Aston VIlla,Man City,21,Brazil,Defensive Midfield,€35.00m,€16.80m,2019 - 2020
Eberechi Eze,Crystal Palace,QPR,22,Nigeria,Attacking Midfield,€20.00m,€17.80m,2020 - 2021
Edouard Mendy,Chelsea,Stade Rennais,28,Guinea-Bissau,Goalkeeper,€32.00m,€24.00m,2020 - 2021
Emerson Royal,Tottenham,Barcelona,22,Spain,Right-Back,€25.00m,€25.00m,2021 - 2022
Emil Krafth,Newcastle,Amiens SC,25,Sweden,Right-Back,€3.00m,€5.40m,2019 - 2020
Emiliano Buendía,Aston Villa,Norwich,24,Spain,Right Winger,€35.00m,€38.40m,2021 - 2022
Emiliano Martínez,Aston Villa,Arsenal,28,Argentina,Goalkeeper,€32.00m,€17.40m,2020 - 2021
Emmanuel Dennis,Watford,Club Brugge,23,Nigeria,Centre-Forward,€8.00m,€4.00m,2021 - 2022
Enock Mwepu,Brighton,RB Salzburg,23,Zambia,Central Midfield,€20.00m,€23.00m,2021 - 2022
Erik Pieters,Burnley,Stoke City,30,Netherlands,Left-Back,€1.00m,€1.10m,2019 - 2020
Ezri Konsa,Aston VIlla,Brentford,21,England,Centre-Back,€25.00m,€13.30m,2019 - 2020
Fabian Delph,Everton,Man City,29,Guyana,Central Midfield,€3.00m,€9.50m,2019 - 2020
Facundo Pellistri,Man Utd,Peñarol,18,Spain,Right Winger,€4.00m,€8.50m,2020 - 2021
Ferran Torres,Man City,Valencia,20,Spain,Right Winger,€45.00m,€33.50m,2020 - 2021
